SchoolName,Borough,ZipCode,LastInspection,ViolationDescription
I.S. 230,Queens,11372,03/23/2023,Evidence of mice or live mice in establishment's food or non-food areas.
I.S. 230,Queens,11372,03/23/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"I.S. 30 MARY WHITE OVINGTON, P231K @ PS/IS 30 MARY WHITE OVINGTON",Brooklyn,11209,03/03/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"I.S. 303 HERBERT S. EISENBERG, P771K @ IS 303 HERBERT S. EISENBERG, RACHEL CARSON SCHOOL FOR COASTAL",Brooklyn,11224,03/16/2023,Evidence of mice or live mice in establishment's food or non-food areas.
I.S. 340,Brooklyn,11238,02/08/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"I.S. 347 SCHOOL OF HUMANITIES, I.S. 349 MATH, SCIENCE & TECH.",Brooklyn,11221,09/15/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
I.S. 98 BAY ACADEMY,Brooklyn,11235,11/04/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
I.S. 98 BAY ACADEMY,Brooklyn,11235,11/04/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"ICAHN CHARTER SCHOOL 5, ICAHN CHARTER SCHOOL 4, ICAHN CHARTER SCHOOL 3",Bronx,10461,12/15/2022,Evidence of mice or live mice in establishment's food or non-food areas.
IMAGINE ME LEADERSHIP CHARTER SCHOOL,Brooklyn,11207,03/01/2023,Evidence of mice or live mice in establishment's food or non-food areas.
IMMACULATE CONCEPTION SCHOOL,Bronx,10467,11/23/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368), P.S. X721 - STEPHEN MCSWEENEY SCHOOL",Bronx,10463,02/28/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"INDEPENDENCE HIGH SCHOOL, LYFE [BABIES], HIGH SCHOOL FOR ENVIRONMENTAL STUDIES",Manhattan,10019,01/24/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"INDEPENDENCE HIGH SCHOOL, LYFE [BABIES], HIGH SCHOOL FOR ENVIRONMENTAL STUDIES",Manhattan,10019,01/24/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"INSTITUTE FOR ENVIRONMENTAL LEARNING - P.S. 291, P.S. X015",Bronx,10453,02/07/2023,Evidence of mice or live mice in establishment's food or non-food areas.
INTERNATIONAL ART AND BUSINESS HS,Brooklyn,11203,03/22/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"IT TAKES A VILLAGE ACADEMY, CULTURAL ACADEMY FOR THE ARTS AND SCIENCES, KURT HAHN EXPEDITIONARY LEAR",Brooklyn,11203,01/23/2023,Evidence of mice or live mice in establishment's food or non-food areas.
IVAN LAFAYETTE EARLY CHILDHOOD SCHOOL OF THE ARTS (THE),Queens,11369,10/31/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"J.H.S. 057 WHITELAW REID, THE BROOKLYN ACADEMY OF GLOBAL FINAN",Brooklyn,11221,09/15/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
J.H.S. 067 LOUIS PASTEUR,Queens,11362,02/09/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"J.H.S. 078 ROY H. MANN, SUCCESS ACADEMY CS - BERGEN BEACH",Brooklyn,11234,03/23/2023,Evidence of mice or live mice in establishment's food or non-food areas.
J.H.S. 104 SIMON BARUCH,Manhattan,10010,11/07/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"J.H.S. 127 THE CASTLE HILL, LINDEN TREE ELEMENTARY SCHOOL",Bronx,10462,10/06/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
"J.H.S. 189 DANIEL CARTER BEARD, FLUSHING INTERNATIONAL HIGH SCHOOL",Queens,11355,02/13/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"J.H.S. 202 ROBERT H. GODDARD, ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY",Queens,11417,10/13/2022,Evidence of mice or live mice in establishment's food or non-food areas.
J.H.S. 210 ELIZABETH BLACKWELL,Queens,11416,02/27/2023,Evidence of mice or live mice in establishment's food or non-food areas.
J.H.S. 216 GEORGE J. RYAN,Queens,11365,02/01/2023,Evidence of mice or live mice in establishment's food or non-food areas.
J.H.S. 216 GEORGE J. RYAN,Queens,11365,02/01/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"J.H.S. 223 THE MONTAUK, URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE",Brooklyn,11204,12/14/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
J.H.S. 234 ARTHUR W. CUNNINGHAM,Brooklyn,11229,03/17/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"J.H.S. 291 ROLAND HAYES, MATH, ENGIN.& SCIENCE ACADEMY CHS, BUSHWICK COMMUNITY HIGH SCHOOL",Brooklyn,11221,03/08/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"J.H.S. 291 ROLAND HAYES, MATH, ENGIN.& SCIENCE ACADEMY CHS, BUSHWICK COMMUNITY HIGH SCHOOL",Brooklyn,11221,03/08/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
J.H.S. 293 BROOKLYN,Brooklyn,11201,01/18/2023,Evidence of mice or live mice in establishment's food or non-food areas.
J.H.S. 98,Bronx,10460,02/03/2023,Evidence of rats or live rats in establishment's food or non-food areas.
JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,Manhattan,10036,10/14/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING, MANHATTAN BUSINESS ACADEMY, QUEST TO",Manhattan,10011,03/06/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"JEAN NUZZI INTERMEDIATE SCHOOL, JEAN NUZZI INTERMEDIATE SCHOOL",Queens,11428,03/08/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
JOEL BRAVERMAN H. S.,Brooklyn,11230,12/01/2022,Evidence of mice or live mice in establishment's food or non-food areas.
JOHN BOWNE HIGH SCHOOL,Queens,11367,03/14/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"JOHN DEWEY HIGH SCHOOL, P.S. K721 @ JOHN DEWEY HS",Brooklyn,11223,12/19/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
"JOHN ERICSSON MIDDLE SCHOOL 126, NORTHSIDE CHARTER HIGH SCHOOL",Brooklyn,11222,02/08/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"JOHN ERICSSON MIDDLE SCHOOL 126, NORTHSIDE CHARTER HIGH SCHOOL",Brooklyn,11222,02/08/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"JOHN ERICSSON MIDDLE SCHOOL 126, NORTHSIDE CHARTER HIGH SCHOOL",Brooklyn,11222,02/08/2023,Evidence of mice or live mice in establishment's food or non-food areas.
JOHN F. KENNEDY JR. SCHOOL,Queens,11373,03/13/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
JOHN F. KENNEDY JR. SCHOOL,Queens,11373,03/13/2023,Evidence of mice or live mice in establishment's food or non-food areas.
JOHN F. KENNEDY JR. SCHOOL,Queens,11373,03/13/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
JOHN F. KENNEDY JR. SCHOOL,Queens,11373,03/13/2023,Evidence of mice or live mice in establishment's food or non-food areas.
JUDITH KAYE HIGH SCHOOL,Manhattan,10128,09/20/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"KIPP AMP ELEMENTARY CHARTER SCHOOL, KIPP AMP CHARTER SCHOOL, THE SCHOOL OF INTEGRATED LEARNING",Brooklyn,11213,03/08/2023,Evidence of mice or live mice in establishment's food or non-food areas.
LEAGUE SCHOOL,Brooklyn,11203,11/17/2022,Evidence of mice or live mice in establishment's food or non-food areas.
LEAGUE SCHOOL,Brooklyn,11203,11/17/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,Manhattan,10011,02/16/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,Manhattan,10011,02/16/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"M.S. 035 STEPHEN DECATUR, BROOKLYN BROWNSTONE SCHOOL, P.S. K141",Brooklyn,11233,10/06/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"M.S. 113 RONALD EDMONDS LEARNING CENTER, COMPASS CHARTER SCHOOL, P.S. 372 -THE CHILDREN'S SCHOOL",Brooklyn,11205,02/27/2023,Evidence of mice or live mice in establishment's food or non-food areas.
M.S. 137 AMERICA'S SCHOOL OF HEROES,Queens,11417,03/01/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"M.S. 246 WALT WHITMAN, SUCCESS ACADEMY CHARTER SCHOOL DITMAS PARK MIDDLE SCHOOL",Brooklyn,11226,10/28/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"M.S. 267 MATH, SCIENCE & TECHNOLOGY, LA CIMA CHARTER SCHOOL, BEDFORD STUYVESANT COLLEGIATE CHARTER S",Brooklyn,11221,03/16/2023,Evidence of mice or live mice in establishment's food or non-food areas.
M.S. 51 WILLIAM ALEXANDER,Brooklyn,11215,10/17/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
M.S. 51 WILLIAM ALEXANDER,Brooklyn,11215,10/17/2022,Evidence of rats or live rats present in facility's food and/or non-food areas.
"M.S. K394, EXPLORE EMPOWER CHARTER SCHOOL",Brooklyn,11213,09/20/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
"M.S. M245 THE COMPUTER SCHOOL, THE ANDERSON SCHOOL, M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL",Manhattan,10024,02/06/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"MAGNET SCHOOL OF MATH, SCIENCE AND DESIGN TECHNOLOGY",Brooklyn,11215,09/30/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"MAGNET SCHOOL OF MATH, SCIENCE AND DESIGN TECHNOLOGY",Brooklyn,11215,09/30/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
MANHATTAN COUNTRY SCHOOL,Manhattan,10024,01/30/2023,Evidence of mice or live mice in establishment's food or non-food areas.
MANHATTAN COUNTRY SCHOOL,Manhattan,10024,01/30/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
MANHATTAN COUNTRY SCHOOL,Manhattan,10024,01/30/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
MANHATTAN COUNTRY SCHOOL,Manhattan,10024,01/30/2023,Evidence of mice or live mice in establishment's food or non-food areas.
MARTIN LUTHER SCHOOL,Queens,11378,01/06/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
MERIWETHER-GODSEY FRIENDS SEMINARY SCHOOL,Manhattan,10003,01/25/2023,Evidence of mice or live mice in establishment's food or non-food areas.
MERRICK ACADEMY - QUEENS PUBLIC CHARTER SCHOOL,Queens,11413,10/11/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
MESIVTA NACHLAS YAKOV OF ADAS YEREIM,Brooklyn,11211,02/16/2023,Evidence of mice or live mice in establishment's food or non-food areas.
MESIVTA TIFERETH JERUSALEM,Manhattan,,03/23/2023,Evidence of rats or live rats in establishment's food or non-food areas.
MESIVTA TIFERETH JERUSALEM,Manhattan,,03/23/2023,Evidence of mice or live mice in establishment's food or non-food areas.
MESIVTA TIFERETH JERUSALEM,Manhattan,,03/23/2023,Evidence of mice or live mice in establishment's food or non-food areas.
MESIVTA TIFERETH JERUSALEM,Manhattan,,03/23/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
MESIVTA TIFERETH JERUSALEM,Manhattan,,03/23/2023,Evidence of rats or live rats in establishment's food or non-food areas.
MESIVTA TIFERETH JERUSALEM,Manhattan,,03/23/2023,Evidence of mice or live mice in establishment's food or non-food areas.
MESIVTA TIFERETH JERUSALEM,Manhattan,,03/23/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
MESIVTA TIFERETH JERUSALEM,Manhattan,,03/23/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
MESIVTA TIFERETH JERUSALEM,Manhattan,,03/23/2023,Evidence of mice or live mice in establishment's food or non-food areas.
MESIVTA TIFERETH JERUSALEM,Manhattan,,03/23/2023,Evidence of mice or live mice in establishment's food or non-food areas.
METROPOLITAN MONTESSORI SCHOOL,Manhattan,10024,11/29/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"MIDDLE SCHOOL FOR ART AND PHILOSOPHY, KINGS COLLEGIATE CHARTER SCHOOL",Brooklyn,11212,12/22/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"MIDDLE SCHOOL FOR ART AND PHILOSOPHY, KINGS COLLEGIATE CHARTER SCHOOL",Brooklyn,11212,12/22/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
"MIDDLE SCHOOL FOR ART AND PHILOSOPHY, KINGS COLLEGIATE CHARTER SCHOOL",Brooklyn,11212,12/22/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
"MIDDLE SCHOOL FOR ART AND PHILOSOPHY, KINGS COLLEGIATE CHARTER SCHOOL",Brooklyn,11212,12/22/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
MONSIGNOR FARELL HIGH SCHOOL,Staten Island,10306,03/07/2023,Evidence of mice or live mice in establishment's food or non-food areas.
MOORE CATHOLIC HIGH SCHOOL,Staten Island,10314,01/10/2023,Evidence of mice or live mice in establishment's food or non-food areas.
MOSDOS CHASIDA SQUARE T.T.Y.,Brooklyn,11206,01/12/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
MOSDOS CHASIDA SQUARE T.T.Y.,Brooklyn,11206,01/12/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
MOSDOS CHASIDA SQUARE T.T.Y.,Brooklyn,11206,01/12/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
MOSDOS CHASIDEI SQUARE,Brooklyn,11219,09/23/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
MOSDOS CHASIDEI SQUARE,Brooklyn,11219,09/23/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
MOSDOS CHASIDEI SQUARE,Brooklyn,11219,09/23/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
MOSDOS CHASIDEI SQUARE,Brooklyn,11219,09/23/2022,Evidence of mice or live mice in establishment's food or non-food areas.
MOSDOS SATMAR BP (BOYS,Brooklyn,11218,02/13/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
MOSDOS SATMAR BP (BOYS,Brooklyn,11218,02/13/2023,Evidence of mice or live mice in establishment's food or non-food areas.
MOSS OUTPOST AT SAR HIGH SCHOOL,Bronx,10471,03/20/2023,Evidence of mice or live mice in establishment's food or non-food areas.
MOSS OUTPOST AT SAR HIGH SCHOOL,Bronx,10471,03/20/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"MOTT HALL IV, OCEAN HILL COLLEGIATE CHARTER SCHOOL, EAGLE ACADEMY FOR YOUNG MEN II",Brooklyn,11233,02/28/2023,Evidence of mice or live mice in establishment's food or non-food areas.
MOUNT ST. MICHAEL ACADEMY,Bronx,10466,01/03/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"MS 297, P751M AT M323",Manhattan,10014,02/02/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"MS 297, P751M AT M323",Manhattan,10014,02/02/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"MS 297, P751M AT M323",Manhattan,10014,02/02/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES, N.Y.C. MUSEUM SCHOOL, NEW YORK CITY LAB MIDDLE SCHOOL F",Manhattan,10011,02/15/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES, N.Y.C. MUSEUM SCHOOL, NEW YORK CITY LAB MIDDLE SCHOOL F",Manhattan,10011,02/15/2023,Evidence of mice or live mice in establishment's food or non-food areas.
NAZARETH REGIONAL HIGH SCHOOL,Brooklyn,11203,01/24/2023,Evidence of mice or live mice in establishment's food or non-food areas.
NESIVOS BAIS YAAKOV,Brooklyn,11218,12/14/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
NESIVOS BAIS YAAKOV,Brooklyn,11218,12/14/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
NEW COVENANT CHRISTIAN SCHOOL,Bronx,10469,11/18/2022,Evidence of mice or live mice in establishment's food or non-food areas.
NEW COVENANT CHRISTIAN SCHOOL(Enter kitchen 1179 Boston Road Pre K),Bronx,10456,12/09/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
NEW COVENANT CHRISTIAN SCHOOL(Enter kitchen 1179 Boston Road Pre K),Bronx,10456,12/09/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"NEW DESIGN MIDDLE SCHOOL, KIPP INFINITY CHARTER SCH, KIPP STAR HARLEM COLLEGE PREP ELEMENTARY SCHOOL",Manhattan,10027,02/01/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"NEW DORP HIGH SCHOOL, SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25, THE RICHARD H. HUNGERFORD SCHOOL",Staten Island,10306,10/07/2022,Evidence of mice or live mice in establishment's food or non-food areas.
NEW WORLD PREP CHARTER SCHOOL,Staten Island,10314,02/15/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
NEW WORLD PREPARATORY SCHOOL,Staten Island,10303,01/17/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"NORTH BRONX SCHOOL OF EMPOWERMENT, LEADERS OF TOMORROW",Bronx,10467,10/03/2022,Evidence of mice or live mice in establishment's food or non-food areas.
OHOLEI TORA,Brooklyn,11213,03/23/2023,Evidence of mice or live mice in establishment's food or non-food areas.
OHOLEI TORAH,Brooklyn,11236,03/20/2023,Evidence of mice or live mice in establishment's food or non-food areas.
OHOLEI TORAH,Brooklyn,11236,03/20/2023,Evidence of mice or live mice in establishment's food or non-food areas.
OHOLEI TORAH ELEMENTARY,Brooklyn,11213,10/03/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
OUR LADY OF HOPE CATHOLIC ACADEMY,Queens,11379,10/27/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
OUR LADY OF MOUNT CARMEL SCHOOL,Bronx,10458,12/06/2022,Evidence of mice or live mice in establishment's food or non-food areas.
OUR LADY OF MOUNT CARMEL SCHOOL,Bronx,10458,12/06/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
OUR LADY QUEEN OF MARTYRS SCHOOL,Manhattan,10040,03/15/2023,Evidence of mice or live mice in establishment's food or non-food areas.
OUR LADY QUEEN OF MARTYRS SCHOOL,Manhattan,10040,03/15/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
OUR LADY QUEEN OF MARTYRS SCHOOL,Manhattan,10040,03/15/2023,Evidence of mice or live mice in establishment's food or non-food areas.
OUR LADY QUEEN OF MARTYRS SCHOOL,Manhattan,10040,03/15/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"P.S. / I.S. 208, P.S. Q993",Queens,11426,03/10/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"P.S. / I.S. 208, P.S. Q993",Queens,11426,03/10/2023,Evidence of mice or live mice in establishment's food or non-food areas.
P.S. / I.S. 54,Bronx,10458,02/14/2023,Evidence of mice or live mice in establishment's food or non-food areas.
P.S. 001 ALFRED E. SMITH,Manhattan,10038,09/29/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
P.S. 003 CHARRETTE SCHOOL,Manhattan,10014,02/16/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"P.S. 005 DR. RONALD MCNAIR, P140K AT K005",Brooklyn,11233,02/10/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"P.S. 005 DR. RONALD MCNAIR, P140K AT K005",Brooklyn,11233,02/10/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
P.S. 009 TEUNIS G. BERGEN,Brooklyn,11238,03/03/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"P.S. 011 KATHRYN PHELAN, P.S. Q255",Queens,11377,12/06/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
"P.S. 011 KATHRYN PHELAN, P.S. Q255",Queens,11377,12/06/2022,Evidence of mice or live mice in establishment's food or non-food areas.
P.S. 011 WILLIAM T. HARRIS,Manhattan,10011,02/15/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"P.S. 013 ROBERTO CLEMENTE, ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL",Brooklyn,11207,11/04/2022,Evidence of mice or live mice in establishment's food or non-food areas.
P.S. 014 FAIRVIEW,Queens,11368,03/09/2023,Evidence of mice or live mice in establishment's food or non-food areas.
P.S. 015 PATRICK F. DALY,Brooklyn,11231,10/04/2022,Evidence of mice or live mice in establishment's food or non-food areas.
P.S. 018 WINCHESTER,Queens,11427,12/14/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
P.S. 019 ASHER LEVY,Manhattan,10003,01/25/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
P.S. 019 ASHER LEVY,Manhattan,10003,01/25/2023,Evidence of mice or live mice in establishment's food or non-food areas.
P.S. 019 MARINO JEANTET,Queens,11368,03/09/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"P.S. 021 CRISPUS ATTUCKS, P140K @ PS 77K ANNEX",Brooklyn,11233,10/14/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"P.S. 023 CARTER G. WOODSON, BROOKLYN CHARTER SCHOOL",Brooklyn,11206,02/08/2023,Evidence of mice or live mice in establishment's food or non-food areas.
P.S. 024,Brooklyn,11232,03/21/2023,Evidence of mice or live mice in establishment's food or non-food areas.
P.S. 024 ANDREW JACKSON,Queens,11355,02/07/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"P.S. 030 HERNANDEZ/HUGHES, HARLEM SUCCESS ACADEMY 2 CHARTER SCHOOL, P.S. 138",Manhattan,,02/15/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"P.S. 030 HERNANDEZ/HUGHES, HARLEM SUCCESS ACADEMY 2 CHARTER SCHOOL, P.S. 138",Manhattan,,02/15/2023,Evidence of mice or live mice in establishment's food or non-food areas.
P.S. 030 WESTERLEIGH,Staten Island,10314,03/07/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
P.S. 031 SAMUEL F. DUPONT,Brooklyn,11222,11/28/2022,Evidence of mice or live mice present in facility's food and/or non-food areas.
P.S. 032 SAMUELS MILLS SPROLE,Brooklyn,11231,01/20/2023,Evidence of mice or live mice in establishment's food or non-food areas.
P.S. 032 SAMUELS MILLS SPROLE,Brooklyn,11231,01/20/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"P.S. 033 CHELSEA PREP, P.S. 138",Manhattan,10001,01/27/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"P.S. 033 CHELSEA PREP, P.S. 138",Manhattan,10001,01/27/2023,Evidence of mice or live mice in establishment's food or non-food areas.
P.S. 034 JOHN HARVARD,Queens,11429,12/15/2022,Evidence of mice or live mice in establishment's food or non-food areas.
P.S. 034 OLIVER H. PERRY,Brooklyn,11222,01/10/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
"P.S. 035, PATHWAYS TO GRADUATION @ MANHATTAN LEARNING PROGRAM",Manhattan,10019,02/10/2023,Evidence of mice or live mice in establishment's food or non-food areas.
P.S. 038 ROSEDALE,Queens,11422,12/08/2022,Evidence of mice or live mice in establishment's food or non-food areas.
P.S. 038 THE PACIFIC,Brooklyn,11217,02/03/2023,Evidence of mice or live mice present in facility's food and/or non-food areas.
P.S. 038 THE PACIFIC,Brooklyn,11217,02/03/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"P.S. 040 AUGUSTUS SAINT-GAUDENS, M.S. 255 SALK SCHOOL OF SCIENCE",Manhattan,10003,11/01/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"P.S. 040 SAMUEL HUNTINGTON, JAMAICA CHILDREN'S SCHOOL",Queens,11433,01/30/2023,Evidence of mice or live mice in establishment's food or non-food areas.
P.S. 041 GREENWICH VILLAGE,Manhattan,10011,10/27/2022,Evidence of mice or live mice in establishment's food or non-food areas.
"P.S. 043, P.S. Q256",Queens,11691,02/15/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"P.S. 043, P.S. Q256",Queens,11691,02/15/2023,Evidence of mice or live mice in establishment's food or non-food areas.
P.S. 045 HORACE E. GREENE,Brooklyn,11207,02/27/2023,Evidence of mice or live mice in establishment's food or non-food areas.
"P.S. 051 ELIAS HOWE, P094M @ PS 051 ELIAS HOWE",Manhattan,10036,02/15/2023,Evidence of mice or live mice in establishment's food or non-food areas.
